ISO_A3,Country_Name,esperance_vie_hom,esperance_vie_fem,pop_0a14_p100,pop_15a64_p100,pop_65plus_p100,densite_pop,tx_mortalite_p1000,tx_fertilite,pop_rurale_p100,imports_p100GDP,exports_p100GDP,immigration,pop_refugies,transport_aerien,PIB_pcapita,PIB_pays,taux_emploi_p100,emploi_agric_p100,ratio_FH_emploi,articles_scientif,surface_agri_p100,surface_foret_p100,zones_terr_protegees_p100,pop_urbaine_p100,ressource_eau_pcapita,emissions_CO2,pop_expo_partic_fine_p100,pop_diabete_p100,mortalite_maladies_p100,mortalite_infant_0a5ans,pop_rurale_sanitaire_p100,acces_electricite_p100,tourisme_internat_p100export,apport_nrj_alim_p100besoin,preval_obesite_adult_p100,age_median,indice_dvpt_humain,political_regime,global_freedom_score_p100,groupe_economie_pays,groupe_PIB_pays,continent,region_ONU,sous_region,region_WB,Long,Lat,temp_dec19,temp_jan20,temp_fev20,temp_mar20,temp_mean,population,AUC_SI,AUC_confirmed,AUC_deaths,AUC_recovered,AUC_confirmed_pmillion,AUC_deaths_pmillion,AUC_recovered_pmillion,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,confirmed_30avr,deaths_30avr,recovered_30avr,confirmed_p_million,deaths_p_million,recovered_p_million,b_confirmed,Asym_confirmed,xmid_confirmed,b_deaths,Asym_deaths,xmid_deaths,b_recovered,Asym_recovered,xmid_recovered,date_first_cases,days_since_first_cases
COD,"Congo, Dem. Rep.",58.9,61.9,46.2,50.8,3.0,37.1,9.5,5.9,55.5,39.0,35.3,119303.0,720307.0,932043.4,900,47227535290.9218,63.5,65.4,91.6,148.7,11.6,67.2,13.8,44.5,12201,0.1,100,6,19.4,88.1,18.2,19.1,0.4,87,5.6,18.6,0.847,Semi-Presidential Republic,18,7. Least developed region,5. Low income,Africa,Africa,Middle Africa,Sub-Saharan Africa,22.4335796736779,-4.0421294149999,26.5800109863281,26.4800048828125,26.8200012207031,27.1,26.745004272461,89561404,3545.43,8995,684.5,684.5,100.433887793898,7.64280113339894,7.64280113339894,-20,8,17,85.85,572,31,73,6.38667969072928,0.346131241980083,0.815083247243422,0.032472076933813,1458.69052561407,18383.380719698,0.106366769851967,29.4195593765832,18353.5718766041,0.041245129301576,260.64544974622,18389.6344552142,3/11/2020,50
COG,"Congo, Rep.",62.8,65.7,41.8,55.6,2.6,15.4,6.7,4.4,33.1,65.2,94.0,-20000.0,13352.0,333899.0,5060,11263682694.0393,69.4,34.1,94.6,66.7,31.1,65.4,40.7,66.9,46865,0.7,100,6,16.7,50.1,6.3,66.2,NA,91,8.4,19.7,0.758,Semi-Presidential Republic,20,6. Developing region,4. Lower middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa,16.0679181078596,-0.654222513499882,28.110009765625,28.4699951171875,28.6199890136719,29.1799865722656,28.5949951171875,5518092,3513.04,3406,152.5,152.5,617.242336662745,27.6363641635551,27.6363641635551,-12,13,16,98.02,220,9,19,39.8688532195549,1.63099854079997,3.44321914168883,0.075441360171129,325.927313043266,18368.4698322026,0.265805588259786,6.29479605820492,18355.222005333,0.11077221606941,24.7594799580136,18367.0228301833,3/15/2020,46
COL,Colombia,74.3,79.9,23.1,68.4,8.5,44.7,5.6,1.8,19.2,20.2,15.1,1023981.0,138586.0,33704037.0,14480,331047040087.877,68.8,16.6,70.9,7195,40.3,52.7,14.8,80.8,45668,1.8,92,7.4,15.8,14.2,76.2,99.6,12.3,132,22.1,30,0.761,Presidential Republic,66,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-72.5861884502539,4.11346893650007,24.6700073242188,24.7600036621094,25.8900085449219,25.5599914550781,25.2200027465821,50882884,4463.1,104400.5,4157.5,4157.5,2051.78031968471,81.7072397075606,81.7072397075606,-45,11,52,93.38,6507,293,1439,127.881902291545,5.75832140332297,28.2806296907227,0.03608358129791,16764.9796849729,18381.4615267633,0.069283260972287,434.127690124589,18369.6146361428,0.068693213959143,2709.25732202123,18375.6121134484,3/6/2020,55
CPV,Cabo Verde,69.3,76.0,28.8,66.6,4.6,134.9,5.6,2.3,34.3,67.4,45.9,-6709.0,13.0,140429.0,7280,1976814276.50792,60.5,11.5,79,8.7,19.6,22.5,2.9,65.7,579,0.9,100,2.4,17.2,19.5,62.4,92.9,53.6,113,10.6,25.4,0.459,Semi-Presidential Republic,92,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa,-25.1802170833496,17.0624046895001,23.1499877929688,22.3200012207031,23.3799987792969,23.0200134277344,22.9675003051758,555988,3736.695,1411.5,37.5,37.5,2538.72385734944,67.447498866882,67.447498866882,-44,3,12,79.63,121,1,4,217.630596343806,1.79859996978352,7.19439987913408,0.120770605557744,150.988391934239,18370.2722515729,36.3259354058105,1,18344.0976834768,0.005738188425515,524582.325445678,18820.0310490921,3/20/2020,41
CRI,Costa Rica,77.5,82.7,21.3,69.1,9.6,97.9,5.1,1.8,20.7,33.0,33.1,21000.0,211.0,1948546.0,16700,60130106115.6294,62.1,12.1,63.1,507.4,34.5,54.6,27.6,79.3,23564,1.6,100,9.1,11.5,8.8,95.8,99.6,19.4,119,25.7,31.3,0.608,Presidential Republic,91,5. Emerging region: G20,3. Upper middle income,North America,Americas,Central America,Latin America & Caribbean,-83.6334000380653,9.62101878450008,18.610009765625,19.5400024414063,20.110009765625,18.4699951171875,19.182504272461,5094114,4014.695,20493.5,143,143,4022.97632129945,28.0716136309474,28.0716136309474,-32,10,52,81.61,719,6,338,141.143288116442,1.17782994255723,66.3510867640575,0.090965208514009,753.124441169448,18349.0140974404,0.02884022621246,16.5834259238976,18379.0932249536,0.039090884096401,2510.55648666327,18399.220140954,3/6/2020,55
CUB,Cuba,76.8,80.7,16.2,68.6,15.2,109.0,9.0,1.6,23.0,11.7,14.5,-72000.0,5488.0,560754.3,NA,100023000000,53.6,17.5,60.9,968.7,59.9,31.3,16.6,77,3371,3.1,100,9.6,16.4,5,94.8,100,NA,139,26.7,41.5,0.794,One-party state,14,5. Emerging region: G20,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-77.9521634549034,21.5197614605001,24.4599853515625,23.7300048828125,24.5800109863281,24.4999938964844,24.3174987792969,11326616,3571.815,25707.5,859.5,859.5,2269.65406084218,75.883211720076,75.883211720076,-44,12,36,83.07,1501,61,681,132.519721689161,5.38554498536898,60.1238710661684,0.062345322496396,2268.42586311138,18367.2568516789,0.044908988816769,165.27723492861,18381.2437779295,0.053713289278108,2273.42469357685,18385.8656736711,3/12/2020,49
CYP,Cyprus,78.7,82.9,16.8,69.5,13.7,128.7,7.0,1.3,33.2,73.4,73.0,25000.0,10.0,401408.0,39880,24961988663.2026,63.1,2.1,84.6,1245.4,12.2,18.7,18.7,66.8,677,5.3,100,9,11.3,2.4,98.4,100,18.9,106,22.6,36.8,0.778,Presidential Republic,94,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Europe & Central Asia,32.9799468094246,34.9048932965,13.5700012207031,10.839990234375,11.35,13.5800109863281,12.3350006103516,1207361,4222.76,21510,387.5,387.5,17815.7154322527,320.947918642394,320.947918642394,-4,7,15,94.71,850,15,296,704.014789280091,12.4237903990604,245.162797208126,0.089937558395928,928.353226565148,18353.456458546,0.123850969286524,13.8134685231256,18349.1430161124,0.006114175623219,25492028.1545204,18785.0133575245,3/9/2020,52
CZE,Czech Republic,76.1,82.0,15.6,65.0,19.4,137.6,10.6,1.7,26.2,72.2,79.7,110057.0,1240.0,5727200.0,37530,245225882903.37,60.6,2.7,77.2,15576.6,45.2,34.6,22.2,73.8,1249,9.2,100,7,15,3.4,99.2,100,4.3,127,28.5,42.1,NA,Parliamentary republic,91,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,Europe & Central Asia,15.5125919816927,49.800449728,2.27999267578127,0.580010986328148,4.58999023437502,5.5100036621094,3.23999938964846,10708982,4445,206144,4574,4574,19249.6354928975,427.118095819005,427.118095819005,-37,11,22,83.07,7682,236,3314,717.341760402623,22.0375755604034,309.459853420241,0.088941938594863,8058.95372531196,18350.644526823,0.104458051063095,255.212485542303,18359.4325643435,0.07595356932073,6340.08412413838,18376.3460705125,3/1/2020,60
DEU,Germany,78.7,83.4,13.6,64.9,21.5,237.4,11.5,1.6,22.7,40.3,47.4,2719112.0,71.0,109796202.2,54560,3947620162502.96,60.8,1.2,83,104396.1,47.7,32.7,37.8,77.3,1321,8.9,89,10.4,12.1,3.7,99,100,3.2,139,25.7,47.1,0.873,Parliamentary republic,94,1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,10.4812261246294,51.0851258345001,2.43999633789065,2.14998779296877,3.54000244140627,4.30001220703127,3.10749969482424,83783945,4306.315,4450178.5,115834.5,115834.5,53114.9315062689,1382.53814618063,1382.53814618063,-3,51,70,81.75,163009,6623,123500,1945.58754663558,79.0485575726949,1474.02942174661,0.088224300846962,171417.586217515,18350.2167963013,0.068216197179841,9085.16634731997,18365.0662206092,0.075290417189258,156864.30915889,18363.3806573536,1/27/2020,94
DJI,Djibouti,64.6,68.8,29.6,65.9,4.5,41.4,7.1,2.7,22.2,178.4,147.0,4501.0,2132.0,NA,NA,2955912228.22417,60.2,33.1,73.7,6.2,73.4,0.2,1.6,77.8,334,0.8,100,5.1,19.6,59.3,19.4,60.2,6.5,109,12.2,23.9,0.891,Presidential Republic,24,7. Least developed region,4. Lower middle income,Africa,Africa,Eastern Africa,Middle East & North Africa,42.4962920896947,11.8199345940001,33.8300109863281,32.4599853515625,33.089990234375,34.6499877929688,33.5074935913086,988002,3890.14,15863.5,40,40,16056.1415867579,40.4857480045587,40.4857480045587,0,5,38,100,1089,2,642,1102.22448942411,2.02428740022793,649.796255473167,0.196644549158099,1148.70948194572,18365.9600089258,17.0051690428357,2.00000000285479,18361.9784469699,0.050059359131083,7028.99014379738,18399.1405687498,3/18/2020,43
DNK,Denmark,79.4,83.4,16.5,63.7,19.8,138.1,9.5,1.8,12.1,48.1,55.1,75998.0,2.0,NA,56410,355675329085.952,62.2,2.2,87.9,13978.8,62,14.7,18.1,87.9,1063,5.9,57,8.3,11.3,4.2,99.6,100,4.6,129,21.3,42.2,0.495,Constitutional parliamentary monarchy,97,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,9.26047406258989,56.2743390975001,4.42000732421877,5.20998535156252,4.46999511718752,4.48000488281252,4.64499816894534,5792203,4427.885,223940,9409,9409,38662.31898295,1624.42511079118,1624.42511079118,0,13,20,84.12,9158,452,6546,1581.09099422102,78.0359390028285,1130.13994847902,0.053500698859644,11988.3812274646,18357.2784731067,0.079406395076896,519.042370001522,18358.4569170658,0.059371409007882,11631.834195301,18371.953422842,2/27/2020,63
DOM,Dominican Republic,70.8,77.2,28.0,64.9,7.1,220.0,6.2,2.3,18.9,26.5,23.7,-150000.0,477.0,NA,16950,85555390387.0355,64.3,9,66.4,49.3,48.7,41.7,26.2,81.1,2312,2.1,100,8.6,19,28.8,73.6,100,37.4,115,26.9,28.1,0.724,Presidential Republic,67,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-70.1252786103869,18.7765477530001,24.4099975585938,23.6400085449219,24.9399963378906,23.8099914550781,24.1999984741211,10847904,4166.59,118586,5621.5,5621.5,10931.697035667,518.210706879412,518.210706879412,1,18,58,98.02,6972,301,1301,642.704802697369,27.747295698782,119.931002339254,0.048377533030465,12651.3339644937,18371.4211731996,0.076130276883974,377.87331956571,18362.3232293539,0.04121712732206,12550.1841094658,18401.4980823085,3/1/2020,60
DZA,Algeria,75.5,77.9,30.1,63.5,6.4,17.7,4.7,3.0,27.4,33.2,22.7,-50002.0,4201.0,6442442.0,NA,173757952824.25,41.2,9.9,21.6,5231.4,17.4,0.8,7.5,72.6,289,3.7,100,6.7,14.2,23.5,82.2,100,0.5,146,26.6,28.1,0.745,Semi-Presidential Republic,34,6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,Middle East & North Africa,0.587503163946603,28.0509891770001,15.4099975585938,12.7700134277344,18.5800109863281,20.839990234375,16.9000030517578,43851043,3577.51,72322,9296,9296,1649.2652181614,211.990396670839,211.990396670839,9,27,49,84.54,4006,450,1779,91.3547255877129,10.2620136082054,40.5691604644387,0.048370810218494,6241.08214995945,18367.5358479403,0.124102215624752,464.760005929562,18358.0245075333,0.086567644594343,2448.25409416365,18369.3682721278,2/25/2020,65
ECU,Ecuador,74.1,79.6,28.0,64.8,7.2,68.8,5.1,2.4,36.2,21.6,20.8,182000.0,1431.0,5365261.0,11420,108398058000,68,29.2,68.1,2142.2,22.2,50.2,21.7,63.8,27733,2.8,98,5.5,13,14.2,83,100,7.6,114,19.3,27.7,0.758,Presidential Republic,65,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-78.281430491757,-1.78871903749992,15.0299926757813,15.7799926757813,15.5500122070313,17.1299987792969,15.8724990844727,17643060,4974.495,325163,12559,12559,18430.0795893683,711.837969150476,711.837969150476,-35,14,16,95.37,24934,900,1558,1413.24690841611,51.0115592193191,88.3066769596657,0.007490630821023,810321368.584973,18693.2981718501,0.033018875791177,2954.66236533743,18389.1596572519,0.12500581311153,1809.25730494774,18365.9504364958,3/1/2020,60
EGY,"Egypt, Arab Rep.",69.6,74.2,33.8,61.0,5.2,98.9,5.8,3.3,57.3,29.3,15.8,-190164.0,24864.0,12340832.0,12100,250894760351.232,46.4,23.8,31,13326.7,3.8,0.1,13.1,42.7,20,2.2,100,17.2,27.7,21.2,91.1,100,24.6,153,31.1,23.9,0.7,Semi-Presidential Republic,21,5. Emerging region: G20,4. Lower middle income,Africa,Africa,Northern Africa,Middle East & North Africa,29.4641384240001,26.8243879250001,15.2900024414063,12.2900024414063,14.0100036621094,18.3799987792969,14.9925018310547,102334403,3640.305,87773.5,6159,6159,857.712532900593,60.185038652153,60.185038652153,30,36,39,88.75,5537,392,1381,54.1069262894903,3.8305788523533,13.4949729466834,0.025189058521808,30872.3292037975,18403.7156611243,0.040669666163013,920.605891519887,18378.680613641,0.027273636483661,7923.93580614048,18401.925984524,2/14/2020,76
ESP,Spain,80.7,86.1,14.7,66.0,19.3,93.5,9.1,1.3,19.7,31.6,35.2,200000.0,48.0,80672105.0,39800,1419041949909.82,57.5,4.1,81.7,54536.6,52.6,36.9,28.1,80.3,2392,5,41,6.9,9.9,3,100,100,16.3,130,27.1,42.7,0.434,Constitutional parliamentary monarchy,92,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia,-3.47652543818091,39.8994766265,10.3200012207031,8.02999267578127,12.2000061035156,13.3300109863281,10.9700027465821,46754783,4680.225,5872756.5,590467.5,590467.5,125607.608958425,12629.0287776547,12629.0287776547,-1,42,58,89.41,213435,24543,112050,4564.98750085098,524.930251521005,2396.54625281867,0.089894569559434,228314.892054255,18350.5573111696,0.086525897775926,26035.8107871714,18353.5646267053,0.073261428011703,129528.051569366,18360.3883533564,2/1/2020,89
EST,Estonia,74.3,83.0,16.4,64.0,19.6,30.4,11.9,1.6,31.1,71.9,76.1,19555.0,280.0,31981.0,34970,30732144528.9795,63.6,3.2,80.4,1414.7,23.1,51.3,20.2,68.9,9669,14.8,0,4.2,17,2.6,99.4,100,10.2,127,23.8,42.7,0.882,Parliamentary republic,94,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,25.4931699663361,58.5884870465001,2.0100036621094,2.36000976562502,1.05999145507815,2.30999145507815,1.93499908447268,1326539,3573.09,47583.5,966,966,35870.4116501663,728.210780082606,728.210780082606,14,18,31,80.29,1689,52,249,1273.23810306369,39.1997521369519,187.70650542502,0.074877297858999,1856.60173527481,18349.8738285794,0.096088997877742,57.7882939836689,18360.4489368798,0.051198988447626,460.306409387601,18371.9127956481,2/27/2020,63
ETH,Ethiopia,64.4,68.2,40.8,55.7,3.5,109.2,6.6,4.2,79.2,23.5,7.6,150002.0,92234.0,11501244.0,2010,84355604752.5299,79.6,66.1,85.6,1994.4,36.3,12.5,18.5,20.8,1244,0.1,100,4.3,18.3,55.2,4.2,44.3,46.5,105,3.6,17.9,0.608,Parliamentary republic,24,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,38.9690651851318,9.12909505200007,12.6499877929688,13.4599853515625,14.2600036621094,14.7300048828125,13.7749954223633,114963583,2932.855,2695.5,71.5,71.5,23.446555245238,0.621936078662406,0.621936078662406,3,13,26,76.19,131,3,59,1.13949127698986,0.026095220083737,0.513205994980167,0.063981739439183,178.96056035432,18362.1741117249,0.49873402511723,2.99563609889596,18356.8782789075,0.007975170554646,52822931.0123102,18710.0568285627,3/13/2020,48
FIN,Finland,79.2,84.6,16.1,62.1,21.8,18.2,9.9,1.5,14.6,37.6,37.7,70000.0,5.0,13364839.0,48580,276743120515.764,59.1,3.6,88.5,10598.9,7.5,73.1,15,85.4,19592,8.7,0,5.6,10.2,1.7,99.5,100,5.3,133,24.9,42.5,0.47,Parliamentary republic,100,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,27.4157281406753,64.9438947610001,-2.66998901367185,-3.16000976562498,-4.45999755859373,-1.94998779296873,-3.05999603271482,5540718,4242.455,110394.5,2826.5,2826.5,19924.2228173316,510.132441318977,510.132441318977,-2,47,59,75.13,4995,211,3000,901.507710733519,38.0817071000545,541.446072512624,0.04755398983398,7372.38576270053,18362.3951475336,0.040326355331837,825.440961859527,18388.3689566769,0.180524010356185,3062.4594875368,18368.1005101772,1/29/2020,92
FRA,France,79.6,85.6,18.0,62.0,20.0,122.3,9.2,1.9,19.6,31.9,30.8,182636.0,61.0,70188028.0,46360,2777535239277.97,55.1,2.4,84.7,66352.2,52.4,31.2,25.8,80.4,3016,4.6,78,4.8,10.6,4,98.9,100,8.1,138,23.2,41.4,0.724,Semi-Presidential Republic,90,1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,2.18758911126355,46.7058498165001,6.96999511718752,6.42998657226565,8.33999023437502,8.49001464843752,7.55749664306643,65273512,5052.78,3367382.5,495249.5,495249.5,51588.8052721907,7587.29666637211,7587.29666637211,-1,52,93,93.38,165764,24345,48572,2539.52935763591,372.969053664525,744.13032961977,0.069959144930664,208489.636759622,18357.0848962342,0.09175805724038,27444.5825422092,18359.0425629583,0.068779556939882,60252.5750885087,18360.8991483778,1/24/2020,97
GAB,Gabon,64.2,68.3,37.0,59.4,3.6,8.2,6.8,4.0,10.6,24.8,50.2,16301.0,347.0,NA,16700,16853589311.4139,52.9,32.8,70.4,63.8,20,90,22.4,89.4,87058,2.8,100,6,14.4,44.8,37.4,92.2,0.8,122,13.4,18.6,0.891,Presidential Republic,22,6. Developing region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa,11.7338000967748,-0.815199476999936,27.4099975585938,27.9800048828125,27.7900024414063,28.1599975585938,27.8350006103516,2225728,3897.055,3054,55.5,55.5,1372.13531932024,24.9356615004169,24.9356615004169,-52,6,27,80.42,276,3,67,124.004370704776,1.34787359461713,30.1025102797826,0.023714108489794,5509.84880588011,18428.2652131041,0.003301706216901,8687547.35158919,19200.1099161858,0.040084635633354,2804.51904652997,18414.5339602291,3/14/2020,47
GBR,United Kingdom,79.6,83.2,17.7,63.9,18.4,274.8,9.3,1.7,16.6,31.6,30.4,1303250.0,82.0,165388610.0,45350,2855296731521.96,62.8,1,84.6,97680.9,71.7,13.1,28.7,83.4,2244,6.5,67,3.9,10.9,4.3,99.5,100,5.7,135,29.5,40.5,NA,Constitutional parliamentary monarchy,94,1. Developed region: G7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,-1.91165220035512,54.3140933285001,4.05001220703127,4.67998657226565,4.42000732421877,4.77999267578127,4.48249969482424,67886004,3703.765,3090735.5,454607.5,454607.5,45528.3168530586,6696.63072229145,6696.63072229145,2,52,55,79.63,171253,26771,0,2522.65547991306,394.352273260921,0,0.059560794009345,245948.715806489,18365.5015596652,0.074129449933091,34996.5568823685,18364.7409624453,0.479614893096315,86.1609961849184,18336.9269435471,1/31/2020,90
GEO,Georgia,69.2,78.0,19.8,65.3,14.9,65.3,12.8,2.1,41.4,57.5,46.5,-50000.0,6975.0,516034.0,11500,17599660629.0202,68.3,41.8,71,550.4,34.5,40.6,8.3,58.6,15629,2.4,100,5.8,24.9,9.8,82.7,100,39.5,116,23.3,38.1,NA,Parliamentary republic,61,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Europe & Central Asia,43.6369626747885,42.2869553660001,3.27999267578127,-0.239996337890602,0.719995117187523,6.61000976562502,2.5925003051758,3989175,5496.43,10757.5,101,101,2696.67287095703,25.318518239987,25.318518239987,-29,17,34,100,539,6,184,135.115656746069,1.50407039049428,46.1248253084911,0.034984368352526,1219.03563958325,18375.8563472249,0.084065752905126,7.26615414137777,18363.3505272102,0.020057434731126,2510.2096554037,18430.0934930789,2/26/2020,64
GHA,Ghana,62.7,64.9,37.6,59.3,3.1,130.8,7.3,3.9,43.9,38.4,35.3,-50000.0,18086.0,467438.0,4650,65556464048.1539,67.8,29.3,88.5,1276,69,41.2,15.1,56.1,1113,0.5,100,2.5,20.8,47.9,11.9,79,4.4,136,9.7,21.1,0.702,Presidential Republic,82,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa,-1.07720574966939,7.9518413290001,27.5299926757813,27.8900085449219,29.7400146484375,30.0299926757813,28.7975021362305,31072945,3393.825,24138,283.5,283.5,776.817260159924,9.12369265288501,9.12369265288501,-50,3,16,85.85,2074,17,212,66.7461677674903,0.547099735799101,6.82265552878879,0.019813710524646,45914.3673425382,18440.2617393987,0.027603049885635,39.0118470991725,18383.3089510576,0.017672009666908,24553.1736630226,18470.1493095713,3/14/2020,47
GMB,"Gambia, The",60.4,63.2,44.3,53.1,2.6,225.3,7.9,5.2,38.7,39.0,22.5,-15436.0,17251.0,53735.0,2570,1632823198.95828,59.4,27.1,75.3,33.8,59.8,48.4,4.1,61.3,1482,0.3,100,1.9,20.4,58.4,29.6,56.2,48.3,119,8.7,21,0.596,Presidential Republic,46,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-14.3404722688415,13.4427757835001,27.4999938964844,27.5700012207031,31.4399963378906,32.4200073242188,29.7324996948242,2416664,3870.8,262.5,38.5,38.5,108.620809512617,15.9310520618506,15.9310520618506,-39,1,11,84.78,11,1,8,4.55172916052873,0.413793560048066,3.31034848038453,0.05953341741969,13.8445384265782,18356.8613340519,36.5788424097546,1,18343.0968252834,0.00614085904145,21858652.7926439,18820.376221961,3/17/2020,44
GRC,Greece,78.8,83.9,14.1,64.3,21.6,83.2,11.2,1.4,20.9,34.0,33.0,-80000.0,107.0,15125933.5,29670,218031844583.994,51.8,12,73.9,10907,47.6,31.7,35.2,79.1,5325,6.2,100,4.7,12.4,4.5,98.1,100,26.4,134,27.4,44.5,NA,Parliamentary republic,88,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia,21.9526761055872,39.0703189145001,8.83001098632815,5.67000732421877,7.49001464843752,8.67998657226565,7.66750488281252,10423056,4401.39,76430.5,3357,3357,7332.83021793225,322.074447263835,322.074447263835,-1,17,26,87.96,2591,140,1374,248.583524831873,13.4317612799931,131.823142847933,0.076052379023834,2778.32459386646,18347.941084407,0.076909043487898,154.523901649155,18354.2324739383,0.006345181402632,95046700.0013649,18768.1089968921,2/26/2020,64
GTM,Guatemala,71.1,76.9,34.4,60.8,4.8,161.0,4.7,2.9,48.9,26.9,18.8,-46073.0,19132.0,145795.0,8310,78460447919.9915,62.3,31.5,46.2,99.9,36,32.7,20,51.1,6858,1.2,100,10,14.9,26.2,50.5,93.3,11.1,116,18.8,22.1,0.651,Presidential Republic,52,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean,-90.2868304692596,15.773891506,22.1700073242188,22.5200134277344,23.360009765625,24.6400085449219,23.172509765625,17915567,5055.985,7345.5,213,213,410.006560216598,11.8891018073835,11.8891018073835,-53,2,35,97.35,599,16,66,33.434610247055,0.893078070038196,3.68394703890756,0.021061553768888,15487.3382237006,18437.4711661203,0.007851082731949,264136.047449883,18670.3722325127,0.005223501114039,24180395.9565862,18872.0798088407,3/14/2020,47
GUY,Guyana,66.8,73.0,28.2,65.3,6.5,4.0,7.5,2.5,73.4,46.2,40.4,-30001.0,283.0,26069.0,8420,3878662620.77146,56.2,17.1,64.2,13.7,8.6,83.9,8.7,26.6,315701,2.6,100,11.6,30.5,30.1,83.7,90.9,1.8,119,19.2,26.2,0.461,Presidential Republic,74,6. Developing region,4. Lower middle income,South America,Americas,South America,Latin America & Caribbean,-58.9562561356274,4.86249501550009,27.1899963378906,27.0200134277344,27.4800048828125,28.4200073242188,27.5275054931641,786559,4103.8,1662,199.5,199.5,2113.00105904325,253.63640871187,253.63640871187,-54,14,28,93.38,82,9,22,104.251556463024,11.4422440020393,27.9699297827626,0.060428465903051,111.031174551339,18362.4638370189,0.081156712454082,8.96722789393926,18354.4932226646,0.044283737403341,38.0059290180661,18377.6201812756,3/12/2020,49
HND,Honduras,72.8,77.4,31.7,63.6,4.7,85.7,4.4,2.5,42.9,57.9,43.4,-34000.0,18860.0,411989.0,4790,23969890430.7882,68.8,30.3,60.5,45.1,28.9,40,23.9,57.1,10123,1.1,100,7.3,14,17.6,76,86.5,10.2,119,19.4,23,0.67,Presidential Republic,45,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean,-87.2304544066036,14.5046584065,20.7199951171875,20.4200073242188,21.1499877929688,21.3999877929688,20.922494506836,9904608,4747.74,13742.5,1091.5,1091.5,1387.4855016978,110.201231588368,110.201231588368,-9,5,10,100,771,71,79,77.8425557074041,7.16838061637573,7.97608547455891,0.052800329928148,1035.6758207325,18364.4355917017,0.049048366582113,128.222072737238,18372.7588311874,0.161588747152362,115.609322774114,18374.8215546117,3/11/2020,50
HRV,Croatia,74.9,81.4,14.5,65.0,20.5,73.1,12.9,1.5,43.1,49.4,50.0,-40004.0,24107.0,2093577.0,27180,60971699315.1776,51.2,6,79.1,4276.9,27.6,34.4,38.3,56.9,8895,4,100,5.4,16.7,4.7,94.8,100,38.6,125,27.1,43,0.503,Parliamentary republic,85,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia,15.3215802577481,44.7451242095,5.98000488281252,4.54000244140627,6.27999267578127,5.5200134277344,5.58000335693362,4105268,4856.29,55030,1044.5,1044.5,13404.727779039,254.429187083523,254.429187083523,-29,24,27,97.35,2076,69,1348,505.691711235418,16.8076724832581,328.358587064231,0.088232684850027,2233.69228530161,18351.6286010134,0.052249197313623,124.208246818865,18372.7177334459,0.051264854916879,3312.86687353293,18379.8639947909,2/25/2020,65
HUN,Hungary,72.5,79.3,14.4,66.4,19.2,107.9,13.4,1.5,28.6,79.9,87.1,29999.0,3927.0,31226848.0,29860,157882912778.254,56.5,4.7,74,6700.9,58.4,22.9,22.6,71.4,608,4.3,100,6.9,23,4.3,98.6,100,7.2,126,28.6,42.3,0.845,Parliamentary republic,70,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,Europe & Central Asia,19.1191922893949,47.1579882815001,4.14998779296877,0.350000000000023,6.6199890136719,7.79000244140627,4.72749481201174,9660350,3949.54,50982.5,4445,4445,5277.50029760826,460.128256222601,460.128256222601,-5,7,24,78.44,2775,312,581,287.256672894874,32.2969664660183,60.1427484511431,0.049559156563859,4775.12714591634,18369.0944874432,0.068308004825597,508.639003475181,18371.1735492888,0.024465308975556,9379.35445056119,18423.2557856244,3/4/2020,57
