"ISO_A3","Country_Name","population_WDI","esperance_vie_hom","esperance_vie_fem","pop_0a14_pcent","pop_15a64_pcent","densite_pop","tx_mortalite_p1000","tx_fertilite","pop_rurale_pcent","imports_pcentGDP","exports_pcentGDP","dette_totale","aide_dvpt_pcentGDI","immigration","pop_refugies","transport_aerien","traffic_containers","PIB_par_habitant","PIB_pays","pauvrete_seuil_nat_pcentpop","pauvrete_5.50usd_pcentpop","GINI_index","taux_emploi_pcent","emploi_agric_pcentemploi","ratio_F_H_emploi","depense_recherche_pcentPIB","articles_scient","depense_milit_pcentPIB","surface_agri_pcent","surface_foret_pcent","zones_terr_protegees_pcent","pop_urbaine_pcent","pop_urb_1M_pcent","ressource_eau_pcapita","emissions_CO2","pop_expo_partic_fine_pcent","pop_diabete_pcent","mortalite_maladies_pcent","mortalite_infant_0a5","medecins_p1000","lits_hopital_p1000","depense_educ_pcentPIB","taux_scolarisation_pcent","taux_reussite_primaire_pcent","indice_parite_ecole","pop_rurale_sanitaire_pcent","acces_electricite_pcent","tourisme_internat_pcentexport","apport_nrj_alim_pcentbesoin","preval_obesite_adult_pcent","age_median","indice_dvpt_humain","ventes_PUT_kg_percapita","groupe_economie_pays","groupe_PIB_pays","continent","region_ONU","sous_region","region_WB","Long","Lat","temp_dec19","temp_jan20","temp_fev20","temp_mar20","temp_mean","population","cumul_tests","cumul_tests_p_million","type_test","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split","confirmed_30avr","deaths_30avr","recovered_30avr","confirmed_p_million","deaths_p_million","recovered_p_million","b_confirmed","Asym_confirmed","xmid_confirmed","b_deaths","Asym_deaths","xmid_deaths","b_recovered","Asym_recovered","xmid_recovered","date_first_cases","days_since_first_cases"
"BOL","Bolivia",11353142,68.4,74.2,31.1,61.7,10.5,6.8,2.7,30.6,31.8,24.9,10,1.9,-47520,510,4122113,"NA",7670,40287647756.8741,34.6,24.7,44,71.8,30.7,78.5,"NA",102.8,1.5,34.8,50.3,30.9,69.4,41.9,28347,1.9,100,6.8,17.2,26.8,1.61,1.1,"NA",97.5,91.6,1,36.1,91.8,9.4,105,18.7,24.3,0.761,112.9,"5. Emerging region: G20","4. Lower middle income","South America","Americas","South America","Latin America & Caribbean",-64.2857951496387,-16.2878418989999,31.5299926757813,32.4900146484375,31.1799865722656,30.9200073242188,31.5300003051758,11673029,7680,657.926918540166,"cases tested","NA",1,5,34,97.35,34.0111111111111,10,79.4580155670443,10,1110,59,117,95.0909999452584,5.0543864835768,10.0231053996353,0.018589380160713,34258.465111576,18447.5437322634,0.049304682604909,115.928996029569,18374.8243475131,0.04972501143935,1053.46243392354,18397.3544631414,"2020-03-11",50
"BRA","Brazil",209469333,72,79.4,21.3,69.7,25.1,6.5,1.7,13.4,11.6,12.6,34.7,0,106000,1038,102109977,10312431,15850,1868626087908.48,"NA",20.4,53.3,63.9,9.2,73.2,1.3,60148,1.5,33.9,58.9,29.4,86.6,"NA",27919,2.6,68,10.4,16.6,14.4,2.15,2.3,"NA",115.4,"NA",1,60.1,100,2.3,131,22.3,32.6,"NA","NA","3. Emerging region: BRIC","3. Upper middle income","South America","Americas","South America","Latin America & Caribbean",-49.7280113163568,-14.2388624029999,27.9999938964844,27.9999938964844,27.7400146484375,27.860009765625,27.9000030517578,212559409,132467,623.199888554451,"tests performed",3027.77,5,20,30,70.52,16.6814658210007,21,47.7871456809404,21,87187,6006,35935,410.177090772773,28.2556299354408,169.058618336674,0.017591709317645,3375517.21425914,18456.269529401,0.023914985673414,111900.412923413,18427.2198604046,0.221250211022344,35214.276213482,18368.6489091503,"2020-02-26",64
"BRB","Barbados",286641,77.7,80.4,17.3,66.9,666.6,9,1.6,68.9,40.6,42.1,"NA","NA",-397,214,"NA",101000,16280,5145000000,"NA","NA","NA",65.2,2.6,89.3,"NA",38,"NA",23.3,14.7,1.3,31.1,"NA",281,4.5,100,13.4,16.2,12.2,2.49,6.2,5.1,97.8,"NA",1,"NA",100,"NA",120,24.8,38.6,0.845,"NA","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-59.5661598592621,13.193670966,28.0599914550781,27.4099975585938,27.1899963378906,27.0500122070313,27.4274993896485,287371,"NA","NA","NA",3711.395,-55,2,22,90.47,26.6525974025974,12,71.9916259527067,11,81,7,39,281.865602305034,24.358755754756,135.713067776498,0.120921053905602,81.7983646383908,18349.4806831593,0.185494442858076,6.14637542519569,18359.4257099836,0.051012508116365,106.641092785391,18380.5944355488,"2020-03-17",44
"BRN","Brunei Darussalam",428962,74.6,77,23,72.1,81.4,4.4,1.8,22.4,35.6,49.6,"NA","NA",0,3,1234455,138676,82180,13567351175.0315,"NA","NA","NA",64.7,1.4,81.4,"NA",293.9,2.4,2.7,72.1,46.9,77.6,"NA",20743,22.2,0,13.3,16.6,11.6,"NA","NA",4.4,104.9,107.4,1,"NA",100,2.7,122,14.7,30.2,0.816,116.4,"6. Developing region","2. High income: nonOECD","Asia","Asia","South-Eastern Asia","East Asia & Pacific",114.46843639661,4.53794118250011,26.5400024414063,26.85,26.7199951171875,27.1799865722656,26.8224960327149,437483,"NA","NA","NA",3705.805,-63,4,40,82.93,"NA","NA","NA","NA",138,1,124,315.44082855791,2.2858031054921,283.43958508102,0.162100156242615,138.466536738819,18337.1322680032,-1.46969719669795,9.24103515931307E-10,18300.0688666187,0.156649495650498,122.780908024253,18352.4422720882,"2020-03-09",52
"BTN","Bhutan",754394,71.1,71.8,25.8,68.2,19.8,6.2,2,59.1,52.7,30.1,11,4.5,1600,7104,275849,"NA",9250,2446674101.3737,"NA",38.6,37.4,66.7,55.3,80.1,"NA",52.6,"NA",13.6,72.5,48,40.9,"NA",108476,1.4,100,10.3,23.3,29.7,0.37,"NA",6.8,101.3,100,1,67,97.7,15.5,"NA",5.8,27.6,0.434,"NA","7. Least developed region","4. Lower middle income","Asia","Asia","Southern Asia","South Asia",90.2957316366054,27.5239713942488,-5.47000732421873,-7.54001464843748,-6.22000732421873,-2.47000732421873,-5.42500915527342,771612,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7,0,5,9.07191697381585,0,6.47994069558275,0.055697364683259,7.85219161608273,18347.4668345571,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.01968962593734,51.9744659801082,18426.917501071,"2020-03-06",55
"BWA","Botswana",2254126,66.2,72,34.1,61.7,4,5.7,2.9,30.6,33.9,40,2.4,0.5,14999,294,253417,"NA",18000,18616018903.4434,"NA","NA","NA",70.8,20.7,85,"NA",280.6,2.8,45.6,18.9,29.1,69.4,"NA",1149,3.4,100,5.8,20.3,36.5,0.37,"NA","NA","NA","NA","NA",50.6,62.8,7.8,99,16.1,24.5,0.423,"NA","6. Developing region","3. Upper middle income","Africa","Africa","Southern Africa","Sub-Saharan Africa",24.4714405778494,-22.3453016149999,28.5700012207031,28.6899963378906,28.5200134277344,26.7199951171875,28.1250015258789,2351625,"NA","NA","NA",3939.41,-89,-11,3,87.04,35.5684523809524,3,62.1372200677777,3,23,1,5,9.78047095093818,0.425237867432095,2.12618933716047,0.095640999761378,27.3324702109442,18361.5274658848,36.4612419613185,1,18351.0970867891,36.4725034303133,5.00000000000001,18380.0983567561,"2020-03-30",31
"CAF","Central African Republic",4666377,50.6,55,44.3,52.9,7.5,12.3,4.7,58.6,39.9,17.3,"NA",27.5,-200000,590874,"NA","NA",920,2219894701.95124,"NA","NA","NA",72,77.3,80.8,"NA",20.5,1.4,8.2,35.6,18.1,41.4,45.9,31585,0.1,100,6,23.1,116.5,"NA","NA","NA","NA","NA","NA",9.1,30,"NA",81,6.3,19.7,0.651,"NA","7. Least developed region","5. Low income","Africa","Africa","Middle Africa","Sub-Saharan Africa",20.6331179305407,6.61479115800011,24.089990234375,23.8200012207031,26.3099914550781,28.4699951171875,25.672494506836,4829764,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",50,0,10,10.3524727088114,0,2.07049454176229,0.006374071321364,258963307.648825,18813.084340269,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.193295509369012,11.5789154179041,18368.5082978572,"2020-03-15",46
"CAN","Canada",37057765,79.9,84.1,15.9,66.9,4.1,7.7,1.5,18.6,33.7,31.5,"NA","NA",1210159,84,89380000,6663690,47590,1713341704877.01,"NA","NA","NA",65.1,1.5,87.6,1.6,59967.8,1.3,6.9,38.2,9.7,81.4,"NA",80423,15.2,0,7.6,9.8,5,2.57,"NA","NA",100.9,"NA",1,98.7,100,4,141,31.3,42.2,0.581,"NA","1. Developed region: G7","1. High income: OECD","North America","Americas","Northern America","North America",-110.430875577198,56.8369204775001,-13.15,-14.2500061035156,-10.9899963378906,-8.47000732421873,-11.7150024414062,37855702,893490,23602.5209623639,"people tested",3225.555,-4,52,66,76.73,19.2494623655914,50,47.3624107290265,50,54457,3310,21424,1438.54154388684,87.4372901604097,565.938520965745,0.048694610601192,94692.5450457769,18370.1012478467,0.054263907937342,8246.39311165388,18380.1429967023,0.054078073424695,40675.5739518683,18374.8545739019,"2020-01-26",95
"CHE","Switzerland",8513227,81.6,85.6,14.9,66.5,215.5,7.8,1.5,26.2,54.5,65,"NA","NA",259999,7,28857994,102916,68820,705140354166.312,"NA",0.1,32.7,68.3,2.9,85.3,"NA",21378.6,0.7,38.4,31.8,9.7,73.8,"NA",4934,4.3,49,5.7,8.6,4.1,4.24,4.7,5.1,105.2,97.2,1,99.9,100,4.4,131,21.2,42.4,0.563,12.1,"2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Western Europe","Europe & Central Asia",8.42700051304515,46.8119499715001,-1.82999267578123,-2.70999755859373,-0.209997558593727,-0.199987792968727,-1.23749389648435,8654618,285886,33032.7693261563,"tests performed",3725.535,0,21,21,79.49,17.6043010752688,20,39.1112053902804,20,29586,1737,23400,3418.5217649121,200.702099156774,2703.7588487441,0.097968010605938,30332.6758428539,18346.5111236938,0.078990720996916,1990.32835420941,18357.4974952959,0.095107110831526,26227.3136000777,18360.4775704112,"2020-02-25",65
"CHI","Channel Islands",170499,81,84.8,15.2,67.5,861.1,7.8,1.5,69.1,"NA","NA","NA","NA",6754,"NA","NA","NA","NA","NA","NA","NA","NA",58.2,3.6,77,"NA","NA","NA",46.5,4,"NA",30.9,35.7,"NA","NA","NA",3.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",41.8,0.922,229.8,"NA","NA","NA","NA","NA","NA",-2.12238430068449,49.218329169,9.24001464843752,8.8900085449219,9.73000488281252,9.05001220703127,9.2275100708008,170499,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",537,40,386,3149.57858990375,234.605481557077,2263.94289702579,0.120481200534461,553.88548762951,18353.5930050183,0.052393487538737,90.9688347088645,18377.6844549117,0.161830561323181,500.196095424866,18372.4811510438,"2020-03-10",51
"CHL","Chile",18729160,77.6,82.4,19.8,68.7,25.2,6.2,1.6,12.4,27.1,28.5,"NA","NA",558539,482,19517185,4662910,24190,298231133532.749,"NA",3.7,44.4,62.6,9,70,"NA",7121.7,1.9,21.2,24.3,18.5,87.6,27.9,49834,4.6,98,8.6,12.4,7.2,1.08,2.2,5.3,101.4,94.8,1,100,100,4.6,126,28.8,34.4,"NA","NA","5. Emerging region: G20","3. Upper middle income","South America","Americas","South America","Latin America & Caribbean",-71.496395606561,-35.7103410784999,16.6499877929688,18.6299987792969,17.1400085449219,16.9900146484375,17.3525024414063,19116209,206218,10787.5991521122,"tests performed",2953.985,11,15,22,83.6,22.0454545454545,14,57.7223420343722,14,16023,227,8580,838.18920372758,11.8747393900119,448.833761966089,0.044554454027645,28198.808858437,18371.2731946564,0.059971890300905,387.730558710584,18372.1841214733,0.063664294665021,16458.6035109074,18375.5266430244,"2020-03-03",58
"CHN","China",1392730000,74.5,79.1,17.9,71.2,148.3,7.1,1.7,40.8,18.2,20,7.5,0,-1741996,212050,611439830,225828900,18170,13608151864637.9,1.7,"NA","NA",68,25.4,80.3,2.1,528263.3,1.9,56.2,22.4,15.4,59.2,19.6,2062,7.5,100,9.2,17,8.6,"NA","NA","NA",99.4,"NA",1,76.4,100,1.5,132,6.6,37.4,0.381,"NA","3. Emerging region: BRIC","3. Upper middle income","Asia","Asia","Eastern Asia","East Asia & Pacific",98.6039156750066,36.9036725935001,-14.1900085449219,-13.9599975585937,-11.5499938964844,-6.45999755859373,-11.5399993896484,1404676330,"NA","NA","NA",5369.765,-2,4,4,66.42,"NA","NA","NA","NA",83956,4637,78523,59.7689291169305,3.3011163504122,55.9011341780067,0.143614840486929,82749.9035187547,18297.8311678344,0.056387863728604,4017.60233946194,18306.3087600254,0.088477960414088,79164.7582723767,18316.5967857339,"2020-01-22",99
"CIV","Cote d'Ivoire",25069229,56.3,58.7,41.9,55.2,78.8,10.1,4.6,49.2,31.1,33.7,17.1,2.3,-40000,38323,779482,907000,4020,43007047821.7541,"NA","NA","NA",57,40,73.5,"NA",248.1,1.4,64.8,32.7,22.9,50.8,28,3393,0.5,100,2.4,29.1,80.9,"NA","NA",5.4,98.4,71.6,0.9,18,65.6,4,123,9,20.9,0.401,"NA","6. Developing region","4. Lower middle income","Africa","Africa","Western Africa","Sub-Saharan Africa",-5.69267393890679,7.51951629650009,27.2900024414063,27.6499877929688,29.8000122070313,29.6299987792969,28.5925003051758,26378275,"NA","NA","NA","NA","NA","NA",-70,0,15.4861111111111,10,28.6929783713802,9.5,1275,14,574,48.3352304121479,0.530739784917702,21.7603311816258,0.049608768734712,2330.17637459499,18371.663552134,0.08073487287637,22.010888648329,18368.8477777776,0.066361976941676,1357.09783536982,18379.2424342092,"2020-03-11",50
"CMR","Cameroon",25216237,57.7,60.2,42.6,54.6,53.3,9.3,4.6,43.6,22.6,18.6,10.7,3.1,-24000,45139,265136,405990,3700,38675205293.0462,"NA","NA","NA",76.1,43.4,87.7,"NA",875.6,1.3,20.6,39.3,10.6,56.4,24.1,12036,0.3,100,6,21.6,76.1,"NA","NA",2.7,110.3,68.2,"NA",17.8,61.4,8.7,123,9.5,18.5,"NA","NA","6. Developing region","4. Lower middle income","Africa","Africa","Middle Africa","Sub-Saharan Africa",13.6109355928691,7.37244517000007,21.0599914550781,21.1799865722656,22.5100036621094,24.0299926757813,22.1949935913086,26545864,"NA","NA","NA",2321.44,7,12,29,65.08,10.1946778711485,13,21.3483883193869,12.5,1832,61,934,69.0126341338899,2.29790976100834,35.1843887997015,0.044428096762881,3463.45641280946,18372.871286454,0.04027049719714,248.729304660271,18388.9645144666,0.07887339884333,2402.38339628118,18380.1352626577,"2020-03-06",55
"COD","Congo, Dem. Rep.",84068091,58.9,61.9,46.2,50.8,37.1,9.5,5.9,55.5,39,35.3,3.4,5.5,119303,720307,932043.4,49000,900,47227535290.9218,"NA","NA","NA",63.5,65.4,91.6,"NA",148.7,0.7,11.6,67.2,13.8,44.5,64.2,12201,0.1,100,6,19.4,88.1,"NA","NA",2.1,"NA","NA","NA",18.2,19.1,0.4,87,5.6,18.6,0.847,201.9,"7. Least developed region","5. Low income","Africa","Africa","Middle Africa","Sub-Saharan Africa",22.4335796736779,-4.0421294149999,26.5800109863281,26.4800048828125,26.8200012207031,27.1,26.745004272461,89561404,"NA","NA","NA",3150.53,-20,8,17,85.85,"NA","NA","NA","NA",572,31,73,6.38667969072928,0.346131241980083,0.815083247243422,0.032472076933813,1458.69052561407,18383.380719698,0.106366769851967,29.4195593765832,18353.5718766041,0.041245129301576,260.64544974622,18389.6344552142,"2020-03-11",50
"COG","Congo, Rep.",5244363,62.8,65.7,41.8,55.6,15.4,6.7,4.4,33.1,65.2,94,"NA",1.4,-20000,13352,333899,580000,5060,11263682694.0393,"NA","NA","NA",69.4,34.1,94.6,"NA",66.7,2.5,31.1,65.4,40.7,66.9,43.9,46865,0.7,100,6,16.7,50.1,"NA","NA","NA","NA","NA","NA",6.3,66.2,"NA",91,8.4,19.7,0.758,50.5,"6. Developing region","4. Lower middle income","Africa","Africa","Middle Africa","Sub-Saharan Africa",16.0679181078596,-0.654222513499882,28.110009765625,28.4699951171875,28.6199890136719,29.1799865722656,28.5949951171875,5518092,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",220,9,19,39.8688532195549,1.63099854079997,3.44321914168883,0.075441360171129,325.927313043266,18368.4698322026,0.265805588259786,6.29479605820492,18355.222005333,0.11077221606941,24.7594799580136,18367.0228301833,"2020-03-15",46
"COL","Colombia",49648685,74.3,79.9,23.1,68.4,44.7,5.6,1.8,19.2,20.2,15.1,41.4,0.6,1023981,138586,33704037,4125200,14480,331047040087.877,27,27.6,49.7,68.8,16.6,70.9,0.2,7195,3.2,40.3,52.7,14.8,80.8,"NA",45668,1.8,92,7.4,15.8,14.2,2,1.5,4.5,115,106,1,76.2,99.6,12.3,132,22.1,30,0.761,90.2,"6. Developing region","3. Upper middle income","South America","Americas","South America","Latin America & Caribbean",-72.5861884502539,4.11346893650007,24.6700073242188,24.7600036621094,25.8900085449219,25.5599914550781,25.2200027465821,50882884,118801,2334.7929728197,"samples tested",3778.82,-45,11,50,90.74,31.0238095238095,13,76.2047619047619,13,6507,293,1439,127.881902291545,5.75832140332297,28.2806296907227,0.03608358129791,16764.9796849729,18381.4615267633,0.069283260972287,434.127690124589,18369.6146361428,0.068693213959143,2709.25732202123,18375.6121134484,"2020-03-06",55
"CPV","Cabo Verde",543767,69.3,76,28.8,66.6,134.9,5.6,2.3,34.3,67.4,45.9,6,4.3,-6709,13,140429,"NA",7280,1976814276.50792,"NA","NA","NA",60.5,11.5,79,"NA",8.7,0.6,19.6,22.5,2.9,65.7,27.2,579,0.9,100,2.4,17.2,19.5,"NA","NA",5.3,103.3,87.4,1,62.4,92.9,53.6,113,10.6,25.4,0.459,"NA","6. Developing region","4. Lower middle income","Africa","Africa","Western Africa","Sub-Saharan Africa",-25.1802170833496,17.0624046895001,23.1499877929688,22.3200012207031,23.3799987792969,23.0200134277344,22.9675003051758,555988,"NA","NA","NA","NA",8,8,12,79.63,25.0146198830409,4,56.6655287309618,0.5,121,1,4,217.630596343806,1.79859996978352,7.19439987913408,0.120770605557744,150.988391934239,18370.2722515729,36.3259354058105,1,18344.0976834768,0.005738188425515,524582.325445678,18820.0310490921,"2020-03-20",41
"CRI","Costa Rica",4999441,77.5,82.7,21.3,69.1,97.9,5.1,1.8,20.7,33,33.1,14.9,0.2,21000,211,1948546,1492800,16700,60130106115.6294,21.1,9.7,48.3,62.1,12.1,63.1,0.4,507.4,0,34.5,54.6,27.6,79.3,"NA",23564,1.6,100,9.1,11.5,8.8,"NA",1.1,7.1,110.8,96.8,1,95.8,99.6,19.4,119,25.7,31.3,0.608,"NA","5. Emerging region: G20","3. Upper middle income","North America","Americas","Central America","Latin America & Caribbean",-83.6334000380653,9.62101878450008,18.610009765625,19.5400024414063,20.110009765625,18.4699951171875,19.182504272461,5094114,9713,1906.71037200974,"people tested","NA",3,10,33,77.78,21.6789772727273,11,55.3701330162086,11,719,6,338,141.143288116442,1.17782994255723,66.3510867640575,0.090965208514009,753.124441169448,18349.0140974404,0.02884022621246,16.5834259238976,18379.0932249536,0.039090884096401,2510.55648666327,18399.220140954,"2020-03-06",55
"CUB","Cuba",11338138,76.8,80.7,16.2,68.6,109,9,1.6,23,11.7,14.5,"NA","NA",-72000,5488,560754.3,349700,"NA",100023000000,"NA","NA","NA",53.6,17.5,60.9,0.4,968.7,"NA",59.9,31.3,16.6,77,"NA",3371,3.1,100,9.6,16.4,5,"NA",5.1,"NA",100.5,89.5,1,94.8,100,"NA",139,26.7,41.5,0.794,120.4,"5. Emerging region: G20","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-77.9521634549034,21.5197614605001,24.4599853515625,23.7300048828125,24.5800109863281,24.4999938964844,24.3174987792969,11326616,55542,4903.67114061252,"tests performed",3156.465,-44,12,36,83.07,"NA","NA","NA","NA",1501,61,681,132.519721689161,5.38554498536898,60.1238710661684,0.062345322496396,2268.42586311138,18367.2568516789,0.044908988816769,165.27723492861,18381.2437779295,0.053713289278108,2273.42469357685,18385.8656736711,"2020-03-12",49
"CUW","Curacao",159800,"NA","NA",18.9,64.4,"NA",8.8,1.7,10.9,"NA","NA","NA","NA",2573,35,"NA","NA","NA",3127908037.85918,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.5,89.1,"NA","NA",37.7,"NA",11.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA",100,31.6,"NA","NA",36.1,0.516,"NA","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-69.0345333899717,12.2120628930001,28.9099975585938,27.6400085449219,29.1899963378906,28.5700012207031,28.5775009155274,164100,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16,1,13,97.5015234613041,6.09384521633151,79.2199878123096,0.115086214007065,15.6123915725594,18345.1980949298,-2.65285212807771,2.326030035249E-09,18300.0870960261,0.108583381068062,12.8526341537544,18356.3959001619,"2020-03-14",47
"CYM","Cayman Islands",64174,"NA","NA","NA","NA",267.4,3.3,"NA",0,"NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.3,52.9,10.8,100,"NA","NA",8.9,"NA",6.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA",100,19.9,"NA","NA",40,0.837,99,"5. Emerging region: G20","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-81.1810922489592,19.3294741880001,28.0100036621094,27.4800048828125,26.9099975585938,26.7300048828125,27.2825027465821,65720,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",73,1,10,1110.77297626293,15.2160681679854,152.160681679854,0.107159826986396,75.9644440746289,18355.0660280385,-3.04723711173632,2.82015855113116E-09,18300.0931724965,0.246530938215904,8.00363118856956,18358.2452290467,"2020-03-13",48
"CYP","Cyprus",1189265,78.7,82.9,16.8,69.5,128.7,7,1.3,33.2,73.4,73,"NA","NA",25000,10,401408,308458,39880,24961988663.2026,"NA",0.1,31.4,63.1,2.1,84.6,0.6,1245.4,1.6,12.2,18.7,18.7,66.8,12.2,677,5.3,100,9,11.3,2.4,1.95,3.4,6.3,99.3,101.3,1,98.4,100,18.9,106,22.6,36.8,0.778,"NA","6. Developing region","2. High income: nonOECD","Asia","Asia","Western Asia","Europe & Central Asia",32.9799468094246,34.9048932965,13.5700012207031,10.839990234375,11.35,13.5800109863281,12.3350006103516,1207361,"NA","NA","NA",3751.86,-4,7,15,94.71,"NA","NA","NA","NA",850,15,296,704.014789280091,12.4237903990604,245.162797208126,0.089937558395928,928.353226565148,18353.456458546,0.123850969286524,13.8134685231256,18349.1430161124,0.006114175623219,25492028.1545204,18785.0133575245,"2020-03-09",52
"CZE","Czech Republic",10629928,76.1,82,15.6,65,137.6,10.6,1.7,26.2,72.2,79.7,"NA","NA",110057,1240,5727200,"NA",37530,245225882903.37,"NA",0.4,24.9,60.6,2.7,77.2,1.8,15576.6,1.1,45.2,34.6,22.2,73.8,9.6,1249,9.2,100,7,15,3.4,4.31,6.5,5.6,100.7,97.8,1,99.2,100,4.3,127,28.5,42.1,"NA","NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Eastern Europe","Europe & Central Asia",15.5125919816927,49.800449728,2.27999267578127,0.580010986328148,4.58999023437502,5.5100036621094,3.23999938964846,10708982,261558,24424.1702899491,"tests performed",3768.92,-31,11,22,83.07,"NA","NA","NA","NA",7682,236,3314,717.341760402623,22.0375755604034,309.459853420241,0.088941938594863,8058.95372531196,18350.644526823,0.104458051063095,255.212485542303,18359.4325643435,0.07595356932073,6340.08412413838,18376.3460705125,"2020-03-01",60
"DEU","Germany",82905782,78.7,83.4,13.6,64.9,237.4,11.5,1.6,22.7,40.3,47.4,"NA","NA",2719112,71,109796202.2,19597633,54560,3947620162502.96,"NA","NA","NA",60.8,1.2,83,3,104396.1,1.2,47.7,32.7,37.8,77.3,"NA",1321,8.9,89,10.4,12.1,3.7,4.21,8.3,4.8,104,98.8,1,99,100,3.2,139,25.7,47.1,0.873,"NA","1. Developed region: G7","1. High income: OECD","Europe","Europe","Western Europe","Europe & Central Asia",10.4812261246294,51.0851258345001,2.43999633789065,2.14998779296877,3.54000244140627,4.30001220703127,3.10749969482424,83783945,2755770,32891.3850977058,"tests performed",3922.555,-3,51,70,81.75,12.6637992831541,49,39.8638006280371,49.5,163009,6623,123500,1945.58754663558,79.0485575726949,1474.02942174661,0.088224300846962,171417.586217515,18350.2167963013,0.068216197179841,9085.16634731997,18365.0662206092,0.075290417189258,156864.30915889,18363.3806573536,"2020-01-27",94
"DJI","Djibouti",958920,64.6,68.8,29.6,65.9,41.4,7.1,2.7,22.2,178.4,147,57.8,5.8,4501,2132,"NA",847000,"NA",2955912228.22417,"NA",70.6,41.6,60.2,33.1,73.7,"NA",6.2,"NA",73.4,0.2,1.6,77.8,"NA",334,0.8,100,5.1,19.6,59.3,"NA",1.4,5.8,69.6,63,1,19.4,60.2,6.5,109,12.2,23.9,0.891,112,"7. Least developed region","4. Lower middle income","Africa","Africa","Eastern Africa","Middle East & North Africa",42.4962920896947,11.8199345940001,33.8300109863281,32.4599853515625,33.089990234375,34.6499877929688,33.5074935913086,988002,"NA","NA","NA","NA",5,5,38,100,"NA","NA","NA","NA",1089,2,642,1102.22448942411,2.02428740022793,649.796255473167,0.196644549158099,1148.70948194572,18365.9600089258,17.0051690428357,2.00000000285479,18361.9784469699,0.050059359131083,7028.99014379738,18399.1405687498,"2020-03-18",43
"DMA","Dominica",71625,"NA","NA","NA","NA",95.5,"NA","NA",29.5,64.6,43.4,11.7,5.2,"NA",40,"NA",8160,10270,550892592.592593,"NA","NA","NA","NA","NA","NA","NA",12.6,"NA",33.3,57.4,22,70.5,22.8,2814,1.9,100,11.6,"NA",35.7,1.08,"NA","NA","NA","NA","NA","NA",100,68.5,119,28.2,33.5,0.93,152.4,"6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-61.3454347125569,15.425340074,26.2499938964844,25.589990234375,25.3799987792969,25.2700134277344,25.6224990844727,71991,"NA","NA","NA",2374.01,0,10,10,86.24,"NA","NA","NA","NA",16,0,13,222.250003472656,0,180.578127821533,0.247685922976247,15.8151413229527,18345.9394715016,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.140784100637329,13.3992838962588,18363.7804755529,"2020-03-22",39
"DNK","Denmark",5793636,79.4,83.4,16.5,63.7,138.1,9.5,1.8,12.1,48.1,55.1,"NA","NA",75998,2,"NA",1675900,56410,355675329085.952,"NA",0.2,28.7,62.2,2.2,87.9,3.1,13978.8,1.2,62,14.7,18.1,87.9,29.8,1063,5.9,57,8.3,11.3,4.2,4.46,3.1,"NA",101.3,103.8,1,99.6,100,4.6,129,21.3,42.2,0.495,"NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Northern Europe","Europe & Central Asia",9.26047406258989,56.2743390975001,4.42000732421877,5.20998535156252,4.46999511718752,4.48000488281252,4.64499816894534,5792203,233799,40364.4347409785,"people tested",4020.535,0,13,20,84.12,13.8584615384615,13,44.5506213609204,13,9158,452,6546,1581.09099422102,78.0359390028285,1130.13994847902,0.053500698859644,11988.3812274646,18357.2784731067,0.079406395076896,519.042370001522,18358.4569170658,0.059371409007882,11631.834195301,18371.953422842,"2020-02-27",63
