ISO_A3,Country_Name,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,X106,X107,X108,X109,X110
DJI,Djibouti,958920,64.6,68.8,29.6,65.9,41.4,7.1,2.7,22.2,178.4,147,57.8,5.8,4501,2132,NA,847000,NA,2955912228.22417,NA,70.6,41.6,60.2,33.1,73.7,NA,6.2,NA,73.4,0.2,1.6,77.8,NA,334,0.8,100,5.1,19.6,59.3,NA,1.4,5.8,69.6,63,1,19.4,60.2,6.5,109,12.2,23.9,0.891,112,7. Least developed region,4. Lower middle income,Africa,Africa,Eastern Africa,Middle East & North Africa,42.4962920896947,11.8199345940001,33.8300109863281,32.4599853515625,33.089990234375,34.6499877929688,33.5074935913086,988002,1089,2,642,1102.22448942411,2.02428740022793,649.796255473167,0.196644549158099,1148.70948194572,18365.9600089258,1.80032881354576e-39,1.25838682475732e-79,0,1,27,17.0051690428357,2.00000000285479,18361.9784469699,1.55982664110298e-121,0,0,0,98,0.050059359131083,7028.99014379738,18399.1405687498,1.42371850324491e-8,0.048339675331796,1.25102979077859e-237,1,22,2020-03-18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMA,Dominica,71625,NA,NA,NA,NA,95.5,NA,NA,29.5,64.6,43.4,11.7,5.2,NA,40,NA,8160,10270,550892592.592593,NA,NA,NA,NA,NA,NA,NA,12.6,NA,33.3,57.4,22,70.5,22.8,2814,1.9,100,11.6,NA,35.7,1.08,NA,NA,NA,NA,NA,NA,100,68.5,119,28.2,33.5,0.93,152.4,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-61.3454347125569,15.425340074,26.2499938964844,25.589990234375,25.3799987792969,25.2700134277344,25.6224990844727,71991,16,0,13,222.250003472656,0,180.578127821533,0.247685922976247,15.8151413229527,18345.9394715016,8.42886031946377e-30,2.34751309469384e-102,0,1,25,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.140784100637329,13.3992838962588,18363.7804755529,8.20872827637315e-14,3.21804256612551e-36,0,1,17,2020-03-22,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNK,Denmark,5793636,79.4,83.4,16.5,63.7,138.1,9.5,1.8,12.1,48.1,55.1,NA,NA,75998,2,NA,1675900,56410,355675329085.952,NA,0.2,28.7,62.2,2.2,87.9,3.1,13978.8,1.2,62,14.7,18.1,87.9,29.8,1063,5.9,57,8.3,11.3,4.2,4.46,3.1,NA,101.3,103.8,1,99.6,100,4.6,129,21.3,42.2,0.495,NA,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,9.26047406258989,56.2743390975001,4.42000732421877,5.20998535156252,4.46999511718752,4.48000488281252,4.64499816894534,5792203,9158,452,6546,1581.09099422102,78.0359390028285,1130.13994847902,0.053500698859644,11988.3812274646,18357.2784731067,7.66300646226068e-52,7.50644185507062e-63,0,1,25,0.079406395076896,519.042370001522,18358.4569170658,2.42017630064602e-93,3.81277508047154e-116,0,1,7,0.059371409007882,11631.834195301,18371.953422842,1.74666283380555e-26,3.7453303329065e-23,5.3150101728953e-305,1,36,2020-02-27,63,193165,33349.1419413304,People tested,2020-04-30,NA,NA,NA,NA,NA
DOM,Dominican Republic,10627165,70.8,77.2,28,64.9,220,6.2,2.3,18.9,26.5,23.7,15.6,0.1,-150000,477,NA,1922088,16950,85555390387.0355,22.8,15.9,42.2,64.3,9,66.4,NA,49.3,0.7,48.7,41.7,26.2,81.1,6.4,2312,2.1,100,8.6,19,28.8,1.56,1.6,NA,107.8,95.3,1,73.6,100,37.4,115,26.9,28.1,0.724,NA,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-70.1252786103869,18.7765477530001,24.4099975585938,23.6400085449219,24.9399963378906,23.8099914550781,24.1999984741211,10847904,6972,301,1301,642.704802697369,27.747295698782,119.931002339254,0.048377533030465,12651.3339644937,18371.4211731996,9.16812998061034e-64,6.15580770264156e-57,0,1,29,0.076130276883974,377.87331956571,18362.3232293539,7.99090762847735e-59,7.96366199544618e-74,0,1,9,0.04121712732206,12550.1841094658,18401.4980823085,4.41773703277651e-26,4.1475439937103e-6,3.94139678947672e-266,1,20,2020-03-01,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,Algeria,42228429,75.5,77.9,30.1,63.5,17.7,4.7,3,27.4,33.2,22.7,0.6,NA,-50002,4201,6442442,1465800,NA,173757952824.25,NA,NA,NA,41.2,9.9,21.6,0.5,5231.4,5.3,17.4,0.8,7.5,72.6,NA,289,3.7,100,6.7,14.2,23.5,1.83,NA,NA,111.8,105.6,NA,82.2,100,0.5,146,26.6,28.1,0.745,97.8,6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,Middle East & North Africa,0.587503163946603,28.0509891770001,15.4099975585938,12.7700134277344,18.5800109863281,20.839990234375,16.9000030517578,43851043,4006,450,1779,91.3547255877129,10.2620136082054,40.5691604644387,0.048370810218494,6241.08214995945,18367.5358479403,5.62450607162491e-45,8.84978768937722e-43,2.45e-321,1,26,0.124102215624752,464.760005929562,18358.0245075333,1.48552209333691e-70,1.43140216317856e-110,0,1,11,0.086567644594343,2448.25409416365,18369.3682721278,4.67523162876265e-44,2.03129862743444e-50,0,1,31,2020-02-25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECU,Ecuador,17084357,74.1,79.6,28,64.8,68.8,5.1,2.4,36.2,21.6,20.8,30,0.4,182000,1431,5365261,2433500,11420,108398058000,23.2,23.2,44.7,68,29.2,68.1,NA,2142.2,2.4,22.2,50.2,21.7,63.8,25.6,27733,2.8,98,5.5,13,14.2,2.05,1.5,NA,103.5,105.4,1,83,100,7.6,114,19.3,27.7,0.758,88,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-78.281430491757,-1.78871903749992,15.0299926757813,15.7799926757813,15.5500122070313,17.1299987792969,15.8724990844727,17643060,24934,900,1558,1413.24690841611,51.0115592193191,88.3066769596657,0.007490630821023,810321368.584973,18693.2981718501,0.234589454210296,0.915100291276563,2.96618384859355e-70,0,97,0.033018875791177,2954.66236533743,18389.1596572519,6.07364983733684e-11,2.90801854631e-4,6.35415905841361e-237,1,15,0.12500581311153,1809.25730494774,18365.9504364958,4.67253621876089e-54,1.22721323967812e-78,0,1,19,2020-03-01,60,38924,2206.19325672531,samples tested,2020-05-02,NA,NA,NA,NA,NA
EGY,"Egypt, Arab Rep.",98423595,69.6,74.2,33.8,61,98.9,5.8,3.3,57.3,29.3,15.8,15.3,0.8,-190164,24864,12340832,6151900,12100,250894760351.232,NA,70.4,31.5,46.4,23.8,31,0.7,13326.7,1.2,3.8,0.1,13.1,42.7,19.5,20,2.2,100,17.2,27.7,21.2,0.81,0.5,NA,106.1,97.2,1,91.1,100,24.6,153,31.1,23.9,0.7,32.3,5. Emerging region: G20,4. Lower middle income,Africa,Africa,Northern Africa,Middle East & North Africa,29.4641384240001,26.8243879250001,15.2900024414063,12.2900024414063,14.0100036621094,18.3799987792969,14.9925018310547,102334403,5537,392,1381,54.1069262894903,3.8305788523533,13.4949729466834,0.025189058521808,30872.3292037975,18403.7156611243,1.25299926749882e-65,2.9420109814809e-32,1.29306345861266e-295,1,34,0.040669666163013,920.605891519887,18378.680613641,1.31407117457879e-57,5.77015143256462e-42,2.00988e-318,1,9,0.027273636483661,7923.93580614048,18401.925984524,2.56852154563565e-26,3.83112704648812e-8,5.66355611462161e-253,1,30,2020-02-14,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERI,Eritrea,NA,63.8,68.2,NA,NA,NA,7.2,4.1,NA,NA,NA,NA,NA,-199290,507267,102729,NA,NA,NA,NA,NA,NA,78.4,61.2,83.6,NA,21.4,NA,75.2,14.9,4.9,NA,25.7,NA,NA,100,5.1,23.9,41.9,NA,NA,NA,68.5,64.2,0.9,5.6,48.4,NA,NA,4.1,19.7,0.667,NA,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,38.0838340803251,15.1818098005,28.3799987792969,26.1799865722656,27.089990234375,29.2799926757813,27.7324920654297,3546427,39,0,26,10.9969837247461,0,7.33132248316404,0.184578194857918,38.9307612690563,18351.3981331302,7.90180747741955e-51,1.40181643608572e-113,0,1,27,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.07671277849026,126.177319689254,18388.5767481368,3.39324853474934e-7,0.02149521264675,5.08259545627083e-256,1,17,2020-03-21,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,0.588,NA,7. Least developed region,5. Low income,Africa,Africa,Northern Africa,Middle East & North Africa,-12.5929728108032,24.2002552285001,19.5700012207031,18.2400146484375,22.35,22.3900085449219,20.6375061035156,597330,6,0,5,10.044698910150199,0,8.37058242512514,0.354745836555242,5.98760473755525,18357.0265272549,1.21710062485249e-17,1.35258527772725e-83,0,1,28,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,37.1772436860878,5,18374.0965706553,2.58631190652685e-97,0,0,1,56,2020-04-05,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,Spain,46796540,80.7,86.1,14.7,66,93.5,9.1,1.3,19.7,31.6,35.2,NA,NA,200000,48,80672105,17189759,39800,1419041949909.82,NA,2.2,34.7,57.5,4.1,81.7,1.2,54536.6,1.3,52.6,36.9,28.1,80.3,NA,2392,5,41,6.9,9.9,3,4.07,3,4.2,102.7,100.6,1,100,100,16.3,130,27.1,42.7,0.434,NA,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia,-3.47652543818091,39.8994766265,10.3200012207031,8.02999267578127,12.2000061035156,13.3300109863281,10.9700027465821,46754783,213435,24543,112050,4564.98750085098,524.930251521005,2396.54625281867,0.089894569559434,228314.892054255,18350.5573111696,4.81772010759625e-89,3.12419222449224e-127,0,1,11,0.086525897775926,26035.8107871714,18353.5646267053,2.80968439216811e-90,4.28794672005094e-123,0,1,6,0.073261428011703,129528.051569366,18360.3883533564,8.16276159736094e-56,2.50101484619228e-72,0,1,13,2020-02-01,89,1351130,28898.2198890753,tests performed,2020-04-30,NA,NA,NA,NA,NA
EST,Estonia,1321977,74.3,83,16.4,64,30.4,11.9,1.6,31.1,71.9,76.1,NA,NA,19555,280,31981,222700,34970,30732144528.9795,NA,1.1,30.4,63.6,3.2,80.4,1.3,1414.7,2.1,23.1,51.3,20.2,68.9,4,9669,14.8,0,4.2,17,2.6,3.47,5,5.2,97.2,97.2,1,99.4,100,10.2,127,23.8,42.7,0.882,120.9,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,25.4931699663361,58.5884870465001,2.0100036621094,2.36000976562502,1.05999145507815,2.30999145507815,1.93499908447268,1326539,1689,52,249,1273.23810306369,39.1997521369519,187.70650542502,0.074877297858999,1856.60173527481,18349.8738285794,1.65725385474499e-68,6.35304466267754e-100,0,1,14,0.096088997877742,57.7882939836689,18360.4489368798,2.78151210043612e-48,2.67556309066237e-73,0,1,12,0.051198988447626,460.306409387601,18371.9127956481,5.76264627817098e-40,3.59957736133157e-34,8.22063496e-315,1,21,2020-02-27,63,55206,41616.5676244724,tests performed,2020-05-02,NA,NA,NA,NA,NA
ETH,Ethiopia,109224559,64.4,68.2,40.8,55.7,109.2,6.6,4.2,79.2,23.5,7.6,20.8,5.9,150002,92234,11501244,NA,2010,84355604752.5299,NA,NA,NA,79.6,66.1,85.6,0.3,1994.4,0.6,36.3,12.5,18.5,20.8,17.4,1244,0.1,100,4.3,18.3,55.2,0.1,NA,NA,NA,NA,NA,4.2,44.3,46.5,105,3.6,17.9,0.608,NA,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,38.9690651851318,9.12909505200007,12.6499877929688,13.4599853515625,14.2600036621094,14.7300048828125,13.7749954223633,114963583,131,3,59,1.13949127698986,0.026095220083737,0.513205994980167,0.063981739439183,178.96056035432,18362.1741117249,5.63716535590481e-48,7.9300231711642e-58,0,1,30,0.49873402511723,2.99563609889596,18356.8782789075,4.71670596467286e-19,3.04458840305701e-95,0,1,12,0.007975170554646,52822931.0123102,18710.0568285627,0.299417722539987,0.943104219473395,2.58788394740269e-64,0,97,2020-03-13,48,17842,155.19697224468,tests performed,2020-04-30,NA,NA,NA,NA,NA
FIN,Finland,5515525,79.2,84.6,16.1,62.1,18.2,9.9,1.5,14.6,37.6,37.7,NA,NA,70000,5,13364839,1592090,48580,276743120515.764,NA,0.1,27.4,59.1,3.6,88.5,2.8,10598.9,1.4,7.5,73.1,15,85.4,NA,19592,8.7,0,5.6,10.2,1.7,3.81,4.9,6.9,100.2,101.5,1.1,99.5,100,5.3,133,24.9,42.5,0.47,NA,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,27.4157281406753,64.9438947610001,-2.66998901367185,-3.16000976562498,-4.45999755859373,-1.94998779296873,-3.05999603271482,5540718,4995,211,3000,901.507710733519,38.0817071000545,541.446072512624,0.04755398983398,7372.38576270053,18362.3951475336,2.27855292328633e-75,2.4467457345713e-78,0,1,22,0.040326355331837,825.440961859527,18388.3689566769,2.10053696880767e-13,4.05799648366833e-5,3.05894226596961e-251,1,13,0.180524010356185,3062.4594875368,18368.1005101772,3.62193481750228e-14,2.03951277516356e-36,0,1,52,2020-01-29,92,101750,18364.0459593865,samples tested,2020-05-01,NA,NA,NA,NA,NA
FJI,Fiji,883483,65.6,69.2,29.5,65,48.4,8.2,2.8,43.8,NA,NA,1.8,2.2,-31008,678,1670216,92691,10140,5536759658.87012,NA,NA,NA,57.6,36.3,50.3,NA,139.8,0.9,23.3,55.9,5.4,56.2,22.8,32950,1.4,83,14.7,30.6,25.6,NA,NA,NA,NA,NA,NA,94.7,96,51.3,126,30,28.9,NA,NA,6. Developing region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific,177.98577437174,-17.7920061179999,25.4699951171875,25.1899963378906,26.089990234375,25.4599853515625,25.5524917602539,896444,18,0,12,20.079335686334,0,13.3862237908893,0.119797909401613,19.1434606760317,18351.3444630699,1.39278165651041e-28,1.93607442877899e-71,0,1,28,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.53456813449405,12.2470283283467,18373.0821078285,1.08664369389697e-34,2.55034920435501e-90,0,1,14,2020-03-19,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLK,Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2. Developed region: nonG7,1. High income: OECD,South America,Americas,South America,Latin America & Caribbean,-58.6138862700746,-51.7942440734999,8.54000244140627,9.74001464843752,9.70000610351565,9.55001220703127,9.38250885009768,3483,13,0,11,3732.41458512776,0,3158.19695664657,0.181154758120175,13.4548869725265,18361.6636113745,4.34014249604276e-24,1.24840114678494e-65,0,1,17,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.350630878160076,12.3063920413028,18372.6118316915,1.14452855038004e-9,2.60836216444528e-36,0,1,29,2020-04-04,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,France,66977107,79.6,85.6,18,62,122.3,9.2,1.9,19.6,31.9,30.8,NA,NA,182636,61,70188028,6369200,46360,2777535239277.97,NA,0.1,31.6,55.1,2.4,84.7,2.2,66352.2,2.3,52.4,31.2,25.8,80.4,NA,3016,4.6,78,4.8,10.6,4,3.23,6.5,NA,102.5,NA,1,98.9,100,8.1,138,23.2,41.4,0.724,NA,1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,2.18758911126355,46.7058498165001,6.96999511718752,6.42998657226565,8.33999023437502,8.49001464843752,7.55749664306643,65273512,165764,24345,48572,2539.52935763591,372.969053664525,744.13032961977,0.069959144930664,208489.636759622,18357.0848962342,9.71149430468232e-40,5.29068774638943e-58,0,1,12,0.09175805724038,27444.5825422092,18359.0425629583,2.09572062840337e-89,1.75079057668169e-116,0,1,8,0.068779556939882,60252.575088508704,18360.8991483778,1.94920933730558e-75,7.82108004190411e-90,0,1,20,2020-01-24,97,724574,11100.5824230815,tests performed,2020-04-28,NA,NA,NA,NA,NA
FRO,Faroe Islands,48497,80.5,84.7,NA,NA,34.7,7.7,2.5,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.1,2.3,42.1,NA,NA,12.5,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,37.6,0.925,172.7,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Northern Europe,Europe & Central Asia,-6.78830683843044,62.199184475,2.99001464843752,3.21999511718752,1.93999633789065,2.32000122070315,2.61750183105471,48865,187,0,184,3826.86994781541,0,3765.47631228896,0.199459631808146,186.195940081339,18340.1724646682,5.0379025627323e-78,2.98228988150035e-154,0,1,17,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.114181343756865,191.334239098308,18351.659264859,1.47428281213036e-47,6.03513961905292e-92,0,1,29,2020-03-04,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,Gabon,2119275,64.2,68.3,37,59.4,8.2,6.8,4,10.6,24.8,50.2,NA,0.7,16301,347,NA,156000,16700,16853589311.4139,NA,32.2,38,52.9,32.8,70.4,NA,63.8,1.5,20,90,22.4,89.4,26.8,87058,2.8,100,6,14.4,44.8,0.36,NA,NA,NA,NA,NA,37.4,92.2,0.8,122,13.4,18.6,0.891,125.4,6. Developing region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa,11.7338000967748,-0.815199476999936,27.4099975585938,27.9800048828125,27.7900024414063,28.1599975585938,27.8350006103516,2225728,276,3,67,124.004370704776,1.34787359461713,30.1025102797826,0.023714108489794,5509.84880588011,18428.2652131041,1.06764675407071e-8,0.101500686406287,5.50189884563317e-203,1,23,0.003301706216901,8687547.35158919,19200.1099161858,0.683888452159487,0.97945842697047,5.83698112073257e-10,0,97,0.040084635633354,2804.51904652997,18414.5339602291,1.27045190944e-4,0.373172805713919,2.48384566566678e-203,1,23,2020-03-14,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,United Kingdom,66460344,79.6,83.2,17.7,63.9,274.8,9.3,1.7,16.6,31.6,30.4,NA,NA,1303250,82,165388610,11695222,45350,2855296731521.96,NA,NA,NA,62.8,1,84.6,1.7,97680.9,1.8,71.7,13.1,28.7,83.4,28.9,2244,6.5,67,3.9,10.9,4.3,2.8,2.8,5.5,101.2,100.1,1,99.5,100,5.7,135,29.5,40.5,NA,NA,1. Developed region: G7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,-1.91165220035512,54.3140933285001,4.05001220703127,4.67998657226565,4.42000732421877,4.77999267578127,4.48249969482424,67886004,171253,26771,0,2522.65547991306,394.352273260921,0,0.059560794009345,245948.715806489,18365.5015596652,2.35094262288497e-107,1.08016874635673e-111,0,1,12,0.074129449933091,34996.5568823685,18364.7409624453,2.80880580916892e-98,2.44243711058645e-109,0,1,13,0.479614893096315,86.1609961849184,18336.9269435471,0.444895016156938,2.87141213732148e-13,3.04483342093617e-285,1,24,2020-01-31,90,1129907,16644.1819141395,tests performed,2020-05-02,NA,NA,NA,NA,NA
GEO,Georgia,3726549,69.2,78,19.8,65.3,65.3,12.8,2.1,41.4,57.5,46.5,29.3,3.5,-50000,6975,516034,285000,11500,17599660629.0202,20.1,43.6,37.9,68.3,41.8,71,0.3,550.4,1.9,34.5,40.6,8.3,58.6,18.5,15629,2.4,100,5.8,24.9,9.8,NA,2.6,3.8,100.4,113.7,1,82.7,100,39.5,116,23.3,38.1,NA,NA,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Europe & Central Asia,43.6369626747885,42.2869553660001,3.27999267578127,-0.239996337890602,0.719995117187523,6.61000976562502,2.5925003051758,3989175,539,6,184,135.115656746069,1.50407039049428,46.1248253084911,0.034984368352526,1219.03563958325,18375.8563472249,1.95481036156243e-42,4.07982782523415e-30,1.85690794666841e-296,1,33,0.084065752905126,7.26615414137777,18363.3505272102,6.63765481570954e-13,7.15294424532094e-22,5.975532840648e-311,1,13,0.020057434731126,2510.2096554037,18430.0934930789,2.09581478078044e-13,0.014033480290362,7.78269694297206e-211,1,42,2020-02-26,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHA,Ghana,29767108,62.7,64.9,37.6,59.3,130.8,7.3,3.9,43.9,38.4,35.3,9.4,1.7,-50000,18086,467438,1009400,4650,65556464048.1539,NA,NA,NA,67.8,29.3,88.5,NA,1276,0.4,69,41.2,15.1,56.1,NA,1113,0.5,100,2.5,20.8,47.9,0.13,NA,4.5,105.5,94.7,1,11.9,79,4.4,136,9.7,21.1,0.702,NA,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa,-1.07720574966939,7.9518413290001,27.5299926757813,27.8900085449219,29.7400146484375,30.0299926757813,28.7975021362305,31072945,2074,17,212,66.7461677674903,0.547099735799101,6.82265552878879,0.019813710524646,45914.3673425382,18440.2617393987,3.72235478744814e-9,0.105653096869038,4.0435261535884e-196,1,33,0.027603049885635,39.0118470991725,18383.3089510576,1.7506028542526e-5,0.009389054259003,4.43681117700263e-212,1,14,0.017672009666908,24553.1736630226,18470.1493095713,0.102165635924683,0.76805373365859,3.16288656521648e-128,1,45,2020-03-14,47,117049,3766.91041032641,units unclear,2020-05-01,NA,NA,NA,NA,NA
GIB,Gibraltar,33718,NA,NA,NA,NA,3371.8,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32.4,100,14.8,NA,15.7,NA,NA,NA,NA,NA,NA,NA,103.5,92.3,1,NA,100,NA,NA,NA,34.7,0.466,NA,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia,-5.34627591313647,36.1268374695001,14.589990234375,12.35,15.4699951171875,15.4699951171875,14.4699951171875,33691,144,0,131,4274.13849395981,0,3888.27876881066,0.152012393448623,139.458858855778,18348.7366389765,2.43872145932377e-62,4.18043085880397e-122,0,1,24,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.087229523498987,156.109270478598,18358.1146474735,6.20253615862252e-44,1.12437571517782e-68,0,1,21,2020-03-04,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,Guinea,12414318,60.5,61.7,43.9,53.2,50.5,8.5,4.7,63.9,56.6,44.7,1.9,5.5,-20000,23493,NA,171900,2460,10907214993.5687,NA,NA,NA,61.5,61.7,104.1,NA,27.8,2.5,59,25.8,35.6,36.1,NA,20267,0.2,100,2.4,22.4,100.8,0.08,NA,2.5,NA,NA,NA,16.6,35.4,0.2,119,6.6,18.9,0.786,62.5,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-9.67599433901555,9.93226308250009,25.1499877929688,24.9399963378906,28.1,28.9999938964844,26.797494506836,13132792,1495,7,329,113.837179481713,0.533016893894307,25.0517940130324,0.030493029181942,14483.0397247665,18409.3167287121,7.17724151029382e-29,1.02309205388124e-6,6.96033900173199e-257,1,34,0.404054098253031,7.0074936912569,18369.0731220109,3.31357786144561e-41,9.14803433364977e-101,0,1,15,0.079788001939875,800.864191469277,18380.7369443402,1.10060822721623e-27,1.175520924869e-16,5.9609247093704e-311,1,14,2020-03-13,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0.939,218.5,NA,NA,NA,NA,NA,NA,-61.565542,16.253345,26.2900024414063,25.6400085449219,25.4200073242188,25.3099914550781,25.6650024414063,400127,151,12,95,377.380181792281,29.9904780232276,237.424617683885,0.147811347218376,150.583334733143,18343.3114199412,6.01835767000945e-60,9.75220731725947e-124,0,1,19,0.090042332157592,12.5396806711916,18353.4430186446,2.15083970265153e-17,4.25079206216397e-42,0,1,8,0.116184488102573,89.3089850887381,18356.4932536883,1.89491855205296e-27,6.77723351434174e-62,0,1,17,2020-03-13,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,"Gambia, The",2280102,60.4,63.2,44.3,53.1,225.3,7.9,5.2,38.7,39,22.5,16.8,14.5,-15436,17251,53735,65252,2570,1632823198.95828,NA,NA,NA,59.4,27.1,75.3,NA,33.8,1.1,59.8,48.4,4.1,61.3,NA,1482,0.3,100,1.9,20.4,58.4,NA,NA,2.1,95.2,NA,NA,29.6,56.2,48.3,119,8.7,21,0.596,NA,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-14.3404722688415,13.4427757835001,27.4999938964844,27.5700012207031,31.4399963378906,32.4200073242188,29.7324996948242,2416664,11,1,8,4.55172916052873,0.413793560048066,3.31034848038453,0.05953341741969,13.8445384265782,18356.8613340519,2.29345044768292e-13,1.66781968617414e-21,2.57105238526465e-296,1,29,36.5788424097546,1,18343.0968252834,1.64220252525323e-96,0,0,1,46,0.00614085904145,21858652.7926439,18820.376221961,0.69541519971239,0.980056096776129,4.43261312687321e-21,0,96,2020-03-17,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
